No.,Temp,DO,PH,CONDUCTIVITY,BOD,NITRITE,FECAL_COLIFORM,TOTAL_COLIFORM,Wqi,Class,,,,,
47,0.828571429,0.087719298,0.810210877,0.027840274,0.092984097,0.005519779,0.001126499,0.000980399,26.12908069,1,,,,,
48,0.857142857,0.210526316,0.721420644,0.002905461,0.008980355,0.003219871,2.92821E-05,2.7817E-05,26.30171388,1,,,,,
49,0.534285714,0.280701754,0.788013319,0.003844148,0.043966324,0.09475621,0.000116809,0.000105819,26.31444656,1,,,,,
50,0.542857143,0.236842105,0.788013319,0.004186843,0.066230122,0.136522539,0.000150447,0.000122614,26.32394769,1,,,,,
51,0.828571429,0.263157895,0.677025527,0.001191984,0.003741815,0.001195952,9.83408E-07,2.42618E-06,26.33002379,1,,,,,
52,0.805714286,0.219298246,0.76581576,0.001236683,0.003554724,0.00275989,1.29531E-06,1.28353E-06,26.35162101,1,,,,,
53,0.8,0.254385965,0.699223085,0.012530731,0.003741815,0.009843606,1.57786E-06,1.78638E-06,26.37143556,1,,,,,
54,0.817142857,0.245614035,0.710321865,0.006317515,0.005986904,0.003219871,4.64477E-05,4.1159E-05,26.40911126,1,,,,,
55,0.791428571,0.263157895,0.732519423,0.001281383,0.003741815,0.003587856,1.30999E-06,2.58075E-06,26.67288267,1,,,,,
56,0.657142857,0.254385965,0.810210877,0.015421292,0.024321796,0.035878565,1.11918E-05,5.38065E-05,26.77905142,1,,,,,
57,0.857142857,0.210526316,0.743618202,0.003292856,0.003928906,0.036522539,8.07275E-07,1.29136E-06,26.9846061,1,,,,,
58,0.805714286,0.254385965,0.743618202,0.004544439,0.004115996,0.011775529,1.47878E-06,3.17556E-06,26.98583462,1,,,,,
59,0.685714286,0.261403509,0.834628191,0.006287715,0.010346118,0.013275069,0.001126499,1.03895E-06,27.04148981,1,,,,,
60,0.828571429,0.245614035,0.732519423,0.018460851,0.004303087,0.005519779,9.65061E-07,1.26201E-06,27.06875835,1,,,,,
61,0.5,0.368421053,0.817647059,0.011294048,0.027440599,0.015639374,0.000124882,0.000163703,27.08187344,1,,,,,
62,0.728571429,0.166666667,0.854605993,0.043820308,0.050327409,0.02575897,3.99051E-05,7.31279E-05,27.08751548,1,,,,,
63,0.525714286,0.271929825,0.799112098,0.005974819,0.040785781,0.174793008,8.27677E-05,6.15233E-05,27.19451784,1,,,,,
64,0.714285714,0.605263158,0.288568257,0.015972584,0.005986904,0.010763569,1.10083E-08,4.10886E-08,27.2360318,1,,,,,
65,0.817142857,0.263157895,0.732519423,0.014378306,0.003180543,0.011039558,9.0635E-07,1.037E-06,27.29969111,1,,,,,
66,0.657142857,0.315789474,0.799112098,0.00371005,0.009167446,0.013275069,0.001126499,7.49377E-07,27.30677906,1,,,,,
67,0.657142857,0.333333333,0.776914539,0.002860761,0.005612722,0.013275069,0.001126499,4.50018E-08,27.31298562,1,,,,,
68,0.537142857,0.342105263,0.788013319,0.003471653,0.031805426,0.096596136,4.83411E-05,4.34815E-05,27.5501544,1,,,,,
69,0.5238,0.35377193,0.850943396,0.012739328,0.039912067,0.01625575,6.39692E-05,0.000290882,27.75063097,1,,,,,
70,0.771428571,0.307017544,0.76581576,0.001564479,0.001309635,0.001379945,9.724E-07,1.56528E-06,27.79811956,1,,,,,
71,0.517142857,0.385964912,0.788013319,0.01034046,0.076707203,0.011039558,3.37588E-07,4.38278E-07,27.8951225,1,,,,,
72,0.657142857,0.324561404,0.832408435,0.003337555,0.00748363,0.013275069,0.001126499,7.709E-07,27.94624737,1,,,,,
73,0.542857143,0.350877193,0.788013319,0.002890561,0.041908326,0.096320147,0.000108248,8.85361E-05,27.9509636,1,,,,,
74,0.715685714,0.263157895,0.854605993,0.027840274,0.000748363,0.013275069,0.001126499,0.000980399,27.95363277,1,,,,,
75,0.533342857,0.36254386,0.847169811,0.012088207,0.03804116,0.015335787,0.000142007,0.000215877,27.96712121,1,,,,,
76,0.771428571,0.280701754,0.754716981,0.005796022,0.048643592,0.013275069,0.001126499,1.23853E-06,27.97858283,1,,,,,
77,0.514285714,0.342105263,0.788013319,0.003501453,0.031618335,0.152805888,6.05457E-05,4.50018E-05,27.98135045,1,,,,,
78,0.514285714,0.368421053,0.85826859,0.012296804,0.039289055,0.012879485,3.85291E-05,0.000150007,27.99496377,1,,,,,
79,0.685714286,0.271929825,0.843507214,0.016836773,0.021515435,0.037718491,3.30249E-05,0.000146745,28.01942026,1,,,,,
80,0.571428571,0.421052632,0.776914539,0.002489756,0.005238541,0.013275069,0.001126499,0.000980399,28.12534556,1,,,,,
81,0.828571429,0.210526316,0.843507214,0.022349698,0.011599626,0.012051518,1.10083E-08,2.54358E-08,28.12928393,1,,,,,
82,0.571428571,0.394736842,0.732519423,0.018907845,0.056688494,0.037718491,7.70581E-05,8.36446E-05,28.19663778,1,,,,,
83,0.571428571,0.429824561,0.732519423,0.012426432,0.024508887,0.023919043,1.05496E-05,1.85877E-05,28.22998841,1,,,,,
