,TEMP,DO,PH,CONDUCTIVITY,BOD,NITRATE,FECAL_COLI,WQI,CLASS
0,0.8240000000000001,0.4196428571428571,0.7644305772230889,0.002922863797591682,0.01241016874980199,0.0008280430582390285,0.002922863797591682,86.26225999844384,3
1,0.792,0.5089285714285714,0.7176287051482061,0.0027097383123506217,0.003555389221556886,0.0017480909007268378,0.0027097383123506217,58.74270833333333,2
2,0.78,0.45535714285714296,0.670826833073323,0.0025575058228927213,0.0029940119760479044,0.0008280430582390285,0.0025575058228927213,51.22763480392157,2
3,0.7879999999999999,0.5000000000000001,0.670826833073323,0.0008068321941268707,0.006923652694610778,0.004508234428190266,0.0008068321941268707,51.579901960784326,2
4,0.78,0.5000000000000001,0.733229329173167,0.001096073924096881,0.0033682634730538923,0.0035881865857024567,0.001096073924096881,47.42107843137254,1
5,0.8,0.5267857142857142,0.748829953198128,0.0010656274262053009,0.002619760479041916,0.0008280430582390285,0.0010656274262053009,46.88890931372549,1
6,0.768,0.47321428571428575,0.6396255850234009,0.004521304936899634,0.002432634730538922,0.002668138743214647,0.004521304936899634,62.15324754901962,2
7,0.784,0.4464285714285714,0.6396255850234009,0.006134969325153374,0.0016841317365269462,0.0017480909007268378,0.006134969325153374,70.65600490196078,2
8,0.8,0.4464285714285714,0.7800312012480499,0.004475635190062263,0.003929640718562875,0.0008280430582390285,0.004475635190062263,74.58247549019606,2
9,0.804,0.45535714285714296,0.7800312012480499,0.0010047344304221408,0.004116766467065869,0.0008280430582390285,0.0010047344304221408,50.598223039215675,2
10,0.7120000000000001,0.38392857142857145,0.7020280811232449,0.002511836076055351,0.0020583832335329343,0.0008280430582390285,0.002511836076055351,47.972242647058806,1
11,0.716,0.4196428571428571,0.592823712948518,0.0012483064135547812,0.002432634730538922,0.0008280430582390285,0.0012483064135547812,33.95582107843138,1
12,0.772,0.35714285714285715,0.6552262090483619,0.0016745573840369012,0.0029940119760479044,0.0035881865857024567,0.0016745573840369012,40.78676470588235,1
13,0.768,0.40178571428571425,0.686427457098284,0.009270958607986117,0.0018712574850299406,0.0008280430582390285,0.009270958607986117,95.28314950980393,3
14,0.8,0.48214285714285726,0.7644305772230889,0.0009286181856931906,0.00280688622754491,0.0017480909007268378,0.0009286181856931906,46.071936274509795,1
15,0.76,0.3660714285714285,0.686427457098284,0.0035926867512064424,0.002619760479041916,0.0017480909007268378,0.0035926867512064424,55.7407475490196,2
