SAMPLE,Weather,Location,SITE,TEMP,PH,CONDUCTIVITY,DO,Turburdity,Nitrite,NITRATE,TOTAL_COLI,E-Coli,FEACEL,AMONIAUM,BOD,COD,PHOSPHATE,SALINITY,WQI
21-Jan-09,Showery with sunny intervals,Mina Park ,15,8.14,8.2,987.6,210,,,,13000,3400,,0.15,< 2,,,,72.26343111
20-Jan-09,Showery with sunny intervals,Conham Vale,16,5.89,8.17,618.5,113.7,,,,6600,2200,,0.22,2,,,,70.95878268
21-Jan-09,Showery with sunny intervals,Boiling Wells,,,,,,,,,120000,15000,,,,,,,78.23885538
25-Feb-09,Overcast,Trowbridge Road,2,8.89,8.11,1084.1,150.8,,,,380000,31000,,1.21,3,,0.57,,78.92408497
25-Feb-09,Overcast,Badocks Wood,2a,10.98,8.24,1069.6,106.4,,,,26000,11000,,0.07,< 2,,0.39,,92.75411738
25-Feb-09,Overcast,Coombe Dingle,3,9.68,8.19,1119.8,130.2,,,,1400,<200,,0.05,< 2,,0.2,,89.08439516
25-Feb-09,Overcast,Crow Lane,3a,8.86,8.21,1253,170.6,,,,300000,4000,,0.36,< 2,,0.36,,85.49220562
24-Feb-09,Overcast,Ashton vale,4,8.34,8.11,1015.3,107.4,,,,35000,4800,,1.48,< 2,,< 0.10,,89.43357817
24-Feb-09,Overcast,Hartcliffe Way,5,8.03,7.54,807.6,105.3,,,,2200,200,,1.21,< 2,,0.19,,76.71502424
24-Feb-09,Overcast,Briscoe's Avenue,5a,7.71,7.49,678.8,111.4,,,,19000,4400,,0.5,< 2,,< 0.10,,71.90645398
24-Feb-09,Overcast,Manor Wood,6,8.05,7.54,748.7,98,,,,70000,19000,,1.1,< 2,,0.3,,76.596503
24-Feb-09,Overcast,Cotswold Road,7a,8.96,7.85,1110.6,84.5,,,,22000,3000,,1.47,< 2,,0.19,,91.91306346
24-Feb-09,Overcast,Brixham Road,7b,9.13,7.72,1182.9,97.4,,,,3400,1400,,0.48,< 2,,< 0.10,,89.50537555
24-Feb-09,Overcast,Allison Road,9,8.51,8.16,812.2,117.2,,,,18000,3800,,0.31,< 2,,0.21,,83.67232
24-Feb-09,Overcast,Cadogan Road,10,9.04,7.36,976.1,89.8,,,,440000,9200,,2,3,,0.37,,76.18887255
24-Feb-09,Overcast,St Georges Park Lake,11,8.69,8.14,680.6,99.2,,,,600,<200,,0.32,4,,< 0.10,,83.13339869
25-Feb-09,Overcast,Dubbers Lane,12,11.79,8.21,1981.6,285.7,,,,6000,200,,33.3,< 2,,< 0.10,,82.65309614
25-Feb-09,Overcast,Eastville Park Lake,13,8.75,8.27,597.8,137.8,,,,<200,<200,,0.05,4,,< 0.10,,76.35305556
25-Feb-09,Overcast,Lower Grove Road,13a,9.6,8.43,818.7,240.8,,,,22000,9200,,0.68,3,,0.48,,61.65568627
25-Feb-09,Overcast,Snuff Mills,14,8.55,8.61,827.9,176.3,,,,3200,600,,0.05,< 2,,< 0.10,,80.25190333
25-Feb-09,Overcast,Wade Street,14a,9.57,8.35,1129.1,255.2,,,,7600,3200,,0.13,< 2,,0.13,,69.90248339
25-Feb-09,Overcast,Mina Park ,15,10.08,8.77,1102.2,254.2,,,,17000,6600,,0.14,6,,0.13,,83.82995098
24-Feb-09,Overcast,Conham Vale,16,8.39,8.35,719,110,,,,4800,1800,,0.84,< 2,,0.1,,85.46140496
17-Mar-09,Overcast,Trowbridge Road,2,8.42,3.82,983.2,98.2,,,,41000,21000,,0.88,2,,0.56,,19.68191176
17-Mar-09,Overcast,Badocks Wood,2a,10.1,3.87,932,106.4,,,,6000,400,,0.06,< 2,,0.4,,26.67986902
17-Mar-09,Overcast,Coombe Dingle,3,7.7,1.99,1089.5,116,,,,9000,800,,0.01,< 2,,0.21,,1.686404963
17-Mar-09,Overcast,Crow Lane,3a,6.37,1.37,1291,102.6,,,,39000,3800,,0.21,< 2,,0.21,,-0.161062357
19-Mar-09,Overcast,Ashton vale,4,6.9,4.14,1004.5,124.7,,,,3200,600,,0.24,< 2,,< 0.10,,29.09102098
19-Mar-09,Overcast,Hartcliffe Way,5,9.04,4.46,790.8,139.9,,,,2600,600,,0.17,< 2,,0.13,,26.02520398
19-Mar-09,Overcast,Briscoe's Avenue,5a,8.25,5.15,679.6,188.8,,,,15000,5200,,0.06,< 2,,< 0.10,,24.84071869
